userId,movieId,rating,timestamp
2,497,3.0,835355880
4,434,4.0,949810688
4,1858,5.0,949919738
4,2094,4.0,949920028
9,497,4.0,938628777
15,434,3.0,1093028320
15,6283,1.0,1416119893
15,81847,1.0,1338698918
19,434,3.0,855194301
20,497,5.0,1238731010
21,921,4.0,853849142
23,497,4.5,1148669881
30,434,4.0,945277634
30,921,5.0,945115217
30,2094,4.0,945277405
30,6103,2.0,1043687080
32,434,3.0,834828123
36,434,3.0,847056636
39,434,4.0,832523129
47,434,4.0,832228931
48,6283,3.5,1317277244
48,81847,3.5,1318796556
49,2094,2.0,978040023
50,434,3.0,847412586
56,86000,5.0,1467003897
57,497,5.0,907763018
57,921,4.0,907764874
57,1996,2.0,907765329
64,434,4.0,843159871
67,434,2.0,854715870
73,497,3.5,1255845005
73,1858,3.0,1470720028
73,8340,4.5,1406172202
81,31930,4.0,1307180362
82,434,3.0,835973431
85,434,3.0,837512015
86,497,4.0,848161123
88,497,4.0,1239765126
92,434,3.0,848525624
92,497,4.0,848526484
99,497,3.0,938587034
99,2094,2.0,947519712
102,434,4.0,958248568
102,921,4.0,956600034
105,434,3.5,1100533484
105,497,2.5,1085574422
108,434,3.0,843302026
110,434,5.0,840100438
111,497,4.0,1097431077
114,434,5.0,838365867
116,434,2.5,1163454712
118,2094,4.0,951009148
119,2094,2.0,913051697
121,497,5.0,833059219
122,434,3.0,832773057
122,497,4.0,832773302
126,497,4.0,833287056
128,434,5.0,1049684794
128,1487,5.0,1049690334
130,497,4.0,1138998334
137,2094,2.0,946411077
140,81847,3.0,1398069703
144,434,3.0,837455389
145,434,5.0,845421676
149,81847,4.5,1436920279
151,434,4.0,847296686
152,434,1.5,1335948250
157,6283,4.0,1291599840
159,434,0.5,1183519940
159,497,3.5,1183519707
161,434,3.0,837629427
165,434,2.0,1111482554
168,434,3.0,848866631
175,1487,3.0,1052884607
176,6283,3.0,1340720444
176,81847,3.0,1366545246
177,497,5.0,907515749
177,2094,4.0,907380321
184,434,3.0,833524818
185,2094,3.0,1003523727
189,434,3.0,968095141
191,434,2.0,839925587
192,434,3.0,843633747
194,434,4.0,848098264
195,921,2.0,976288703
195,2094,2.0,975419107
197,2094,5.0,975429568
199,6283,4.0,1214654479
199,85025,3.5,1304654795
200,81847,4.5,1438022790
212,497,3.0,1218954867
212,3936,2.5,1228788649
213,2094,2.5,1462644086
213,6283,3.5,1462639234
213,81847,4.0,1462635835
214,2094,4.0,979953080
220,434,3.0,970504395
222,901,5.0,960919866
232,921,4.0,955089975
232,2094,4.0,955087383
239,497,5.0,991858341
243,434,2.5,1094223929
247,434,4.0,953272304
247,2094,3.0,953272141
251,81847,4.5,1476623282
254,497,3.0,845157499
254,901,4.0,845158460
258,1487,2.0,955313061
262,81847,2.5,1433900020
265,921,4.0,960056990
266,434,2.0,840703189
268,434,3.0,1314894397
